title,price,img_src,link,author,publisher
이레(케이 스릴러),"12,150원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/386/16338607.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338607, 김달리,고즈넉이엔티
행복배틀(케이 스릴러),"12,150원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/386/16338610.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338610, 주영하,고즈넉이엔티
소설 소태산,"19,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348364.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348364, 이혜화,북바이북
깨어나지 말 걸 그랬어(케이 스릴러),"12,150원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/385/16338584.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338584, 김하림,고즈넉이엔티
마귀(케이 스릴러),"12,150원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/385/16338587.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338587, 전건우,고즈넉이엔티
말괄량이 사이코패스(케이 스릴러),"11,250원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/385/16338590.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338590, 기윤슬,고즈넉이엔티
비행엄마(케이 스릴러),"11,250원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/385/16338596.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338596, 이지은,고즈넉이엔티
사라진 나라의 아이들(케이 스릴러),"12,150원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/386/16338604.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338604, 이성진,고즈넉이엔티
꿈의 노벨레,"8,100원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349272.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349272, 아르투어 슈니츨러,문학과지성사
꽃잎처럼,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/487/16348795.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348795, 정도상,다산책방
모래 사나이,"9,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349275.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349275, E.T.A. 호프만,문학과지성사
버지니아 울프 단편소설 전집(버지니아 울프 전집 10),"17,100원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/419/16341940.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341940, 버지니아 울프,솔
아! 남궁세가. 3,"7,200원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/491/16349156.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349156, 풍백,영상출판미디어(영상노트)
잭 the 뱀파이어,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/491/16349145.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349145, 박지선,들녘
실비/오렐리아,"9,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349281.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349281, 제라르 드 네르발,문학과지성사
삼국지 1,"16,200원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/450/16345002.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345002, 나관중,우리책
게을러서 차원최강. 6,"7,200원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/491/16349157.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349157, 고랭지,영상출판미디어(영상노트)
다행인지 불행인지 1,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/388/16338820.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338820, 노희다,연담
다행인지 불행인지 2,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/388/16338821.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338821, 노희다,연담
삼국지 2,"14,400원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/450/16345005.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345005, 나관중,우리책
다행인지 불행인지 3,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/388/16338825.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338825, 노희다,연담
첫사랑,"8,100원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349268.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349268, 사뮈엘 베케트,문학과지성사
다행인지 불행인지 4/완결,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/388/16338826.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338826, 노희다,연담
나의 할머니에게,"13,320원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/474/16347469.jpg?type=m1&udate=Mon May 11 16:11:05 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347469, 윤성희,다산책방
